epsilon,steps,alpha,seed,held_out,auroc,f1,acc,lpips,lpips_std,lpips_net,n_images,pkl_path
32/255,10,0.05,234,chen2024_clip,0.011175000000000004,0.11026615969581748,0.064,0.4101426899433136,0.16551773250102997,alex,1000,
32/255,10,0.05,234,chen2024_convnext,0.18691875000000002,0.004878048780487805,0.184,0.40983060002326965,0.16538415849208832,alex,1000,
32/255,10,0.05,234,corvi2023,0.0689125,0.020477815699658702,0.139,0.3977934718132019,0.16497960686683655,alex,1000,
32/255,10,0.05,234,koutlis2024,0.023178125000000004,0.022703818369453045,0.053,0.41123536229133606,0.16566592454910278,alex,1000,
32/255,10,0.05,234,ojha2023,0.10203125,0.1105424769703173,0.131,0.41135096549987793,0.16579140722751617,alex,1000,
32/255,10,0.05,234,wang2020,0.038062500000000006,0.0,0.083,0.4114120304584503,0.16444432735443115,alex,1000,
32/255,20,0.01,42,cavia2024,0.31926875,0.43270868824531517,0.334,0.1742667853832245,0.10225840657949448,alex,1000,
32/255,20,0.01,42,chen2024_clip,0.042543750000000005,0.2510974539069359,0.147,0.17147165536880493,0.10139515995979309,alex,1000,
32/255,20,0.01,42,chen2024_convnext,0.24805625,0.08333333333333333,0.208,0.1714014708995819,0.10181383788585663,alex,1000,
32/255,20,0.01,42,corvi2023,0.1343375,0.05767012687427912,0.183,0.1603911817073822,0.09935194253921509,alex,1000,
32/255,20,0.01,42,koutlis2024,0.026531250000000006,0.0712871287128713,0.062,0.17239221930503845,0.10218256711959839,alex,1000,
32/255,20,0.01,42,ojha2023,0.23867499999999997,0.055491329479768786,0.183,0.1724015176296234,0.10173439979553223,alex,1000,
32/255,20,0.01,42,wang2020,0.08633125000000001,0.00903954802259887,0.123,0.17817659676074982,0.10346314311027527,alex,1000,
32/255,20,0.01,123,cavia2024,0.31675624999999996,0.44763513513513514,0.346,0.1743842512369156,0.10237681865692139,alex,1000,
32/255,20,0.01,123,corvi2023,0.13566875,0.06199770378874857,0.183,0.1605226993560791,0.09947141259908676,alex,1000,
32/255,20,0.01,123,ojha2023,0.23430625,0.04935370152761456,0.191,0.17208260297775269,0.10124150663614273,alex,1000,
32/255,20,0.01,234,cavia2024,0.31785624999999995,0.43611584327086883,0.338,0.17418557405471802,0.10242766886949539,alex,1000,
32/255,20,0.01,234,chen2024_clip,0.03530625,0.25087719298245614,0.146,0.1713794320821762,0.10130016505718231,alex,1000,
32/255,20,0.01,234,chen2024_convnext,0.24366875000000002,0.07906976744186048,0.208,0.17135782539844513,0.10169630497694016,alex,1000,
32/255,20,0.01,234,corvi2023,0.13596250000000001,0.06451612903225806,0.188,0.16027416288852692,0.09921014308929443,alex,1000,
32/255,20,0.01,234,koutlis2024,0.021306250000000006,0.06181455633100698,0.059,0.17226195335388184,0.10223853588104248,alex,1000,
32/255,20,0.01,234,ojha2023,0.23047499999999999,0.0774487471526196,0.19,0.17230841517448425,0.10151340067386627,alex,1000,
32/255,20,0.01,234,wang2020,0.08741874999999999,0.0044994375703037125,0.115,0.17832061648368835,0.10363312065601349,alex,1000,
32/255,20,0.03,42,cavia2024,0.27446875000000004,0.31608133086876156,0.26,0.3803768455982208,0.15522541105747223,alex,1000,
32/255,20,0.03,42,chen2024_clip,0.021568750000000005,0.1384471468662301,0.079,0.3761179745197296,0.15475992858409882,alex,1000,
32/255,20,0.03,42,chen2024_convnext,0.26773125,0.0049751243781094535,0.2,0.3763188421726227,0.15513549745082855,alex,1000,
32/255,20,0.03,42,corvi2023,0.04260000000000001,0.009142857142857144,0.133,0.3625029921531677,0.15406188368797302,alex,1000,
